Text,Image
urn:cts:greekLit:tlg0012.tlg001.msB:4.1,"urn:cite:hmt:vbimg.VB051RN-0495@0.082,0.482,0.451,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msB:4.2,"urn:cite:hmt:vbimg.VB051RN-0495@0.105,0.5023,0.454,0.0195"
urn:cts:greekLit:tlg0012.tlg001.msB:4.3,"urn:cite:hmt:vbimg.VB051RN-0495@0.102,0.5203,0.429,0.0158"
urn:cts:greekLit:tlg0012.tlg001.msB:4.4,"urn:cite:hmt:vbimg.VB051RN-0495@0.1,0.536,0.462,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msB:4.5,"urn:cite:hmt:vbimg.VB051RN-0495@0.104,0.5541,0.437,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msB:4.6,"urn:cite:hmt:vbimg.VB051RN-0495@0.104,0.5706,0.442,0.0195"
urn:cts:greekLit:tlg0012.tlg001.msB:4.7,"urn:cite:hmt:vbimg.VB051RN-0495@0.101,0.5886,0.429,0.0188"
urn:cts:greekLit:tlg0012.tlg001.msB:4.8,"urn:cite:hmt:vbimg.VB051RN-0495@0.106,0.6044,0.404,0.021"
urn:cts:greekLit:tlg0012.tlg001.msB:4.9,"urn:cite:hmt:vbimg.VB051RN-0495@0.105,0.6246,0.417,0.021"
urn:cts:greekLit:tlg0012.tlg001.msB:4.10,"urn:cite:hmt:vbimg.VB051RN-0495@0.11,0.6434,0.443,0.018"
urn:cts:greekLit:tlg0012.tlg001.msB:4.11,"urn:cite:hmt:vbimg.VB051RN-0495@0.106,0.6577,0.443,0.0248"
